time,latitude,longitude,depth,mag,place
2011-03-17 15:34:34.940000+00:00,40.476,79.084,32.8,4.9,"103 km WSW of Aykol, China"
2011-03-18 09:36:28.860000+00:00,43.108,74.771,21.3,4.1,"9 km NNE of Georgiyevka, Kazakhstan"
2011-03-25 10:21:23.080000+00:00,40.364,73.077,44.0,4.7,"29 km SE of Osh, Kyrgyzstan"
2011-04-02 06:38:57.320000+00:00,38.017,72.895,131.3,4.6,"95 km W of Murghob, Tajikistan"
2011-04-09 12:30:25.650000+00:00,42.067,74.819,14.4,4.9,"91 km SSE of Bishkek, Kyrgyzstan"
2011-04-16 20:50:10.050000+00:00,38.203,75.964,119.5,4.6,"114 km WSW of Shache, China"
2011-04-25 12:13:53.680000+00:00,40.996,71.583,10.0,4.4,"6 km E of To‘rqao‘rg‘on, Uzbekistan"
2011-05-01 02:31:29.620000+00:00,43.564,77.746,23.2,5.1,"21 km NE of Turgen, Kazakhstan"
2011-05-01 09:13:55.870000+00:00,43.597,77.639,22.0,4.9,"22 km N of Turgen, Kazakhstan"
2011-05-01 11:37:11.590000+00:00,43.724,77.538,28.2,4.8,"36 km N of Turgen, Kazakhstan"
2011-05-01 20:29:05.040000+00:00,43.637,77.725,20.6,4.0,"28 km NNE of Turgen, Kazakhstan"
2011-05-02 07:41:53.280000+00:00,41.856,65.864,10.0,4.1,"144 km N of Nurota, Uzbekistan"
2011-05-08 23:31:03.910000+00:00,43.28,83.108,35.0,4.3,"19 km SW of Xinyuan, China"
2011-05-11 13:48:02.720000+00:00,41.747,81.261,51.1,4.0,"103 km NE of Aksu, China"
2011-05-13 06:48:16.250000+00:00,41.984,82.355,33.8,4.8,"56 km WNW of Kuqa, China"
2011-05-17 22:18:21.990000+00:00,42.207,82.242,54.9,4.2,"78 km NW of Kuqa, China"
2011-05-22 10:52:06.610000+00:00,42.011,82.323,37.4,4.9,"60 km WNW of Kuqa, China"
2011-05-23 08:38:49.530000+00:00,42.03,82.311,46.8,4.5,"62 km NW of Kuqa, China"
2011-05-23 13:22:31.630000+00:00,39.401,74.845,32.3,4.7,"98 km W of Kashgar, China"
2011-05-23 22:29:21.560000+00:00,41.568,82.81,8.2,4.5,"19 km SSW of Kuqa, China"
2011-05-23 23:13:26.140000+00:00,42.052,82.277,50.0,4.7,"65 km NW of Kuqa, China"
2011-05-27 12:01:35.570000+00:00,39.598,75.371,35.0,4.4,"55 km WNW of Kashgar, China"
2011-06-02 21:06:46.510000+00:00,42.542,78.43,44.5,4.1,"6 km NNE of Karakol, Kyrgyzstan"
2011-06-05 20:41:36.910000+00:00,39.018,70.962,47.1,4.5,"50 km E of Rasht, Tajikistan"
2011-06-07 21:15:50.910000+00:00,39.361,74.73,48.4,4.5,"109 km W of Kashgar, China"
2011-06-16 10:57:25.140000+00:00,43.163,67.001,10.0,4.7,"84 km SSW of Yanykurgan, Kazakhstan"
2011-06-17 05:28:46.830000+00:00,38.132,72.71,56.5,4.3,"110 km W of Murghob, Tajikistan"
2011-06-21 14:47:40.900000+00:00,39.214,72.499,52.1,5.0,"43 km SSE of Kyzyl-Eshme, Kyrgyzstan"
2011-06-21 15:33:18.700000+00:00,38.745,75.103,41.2,4.2,"111 km SW of Kashgar, China"
2011-06-23 19:18:40.390000+00:00,40.305,71.513,28.8,4.4,"10 km SSE of Oltiariq, Uzbekistan"
2011-07-05 18:52:30.810000+00:00,39.413,73.224,38.4,4.7,"83 km ESE of Kyzyl-Eshme, Kyrgyzstan"
2011-07-08 00:47:21.110000+00:00,39.296,73.145,10.0,4.5,"80 km ESE of Kyzyl-Eshme, Kyrgyzstan"
2011-07-11 18:52:35.910000+00:00,41.956,82.356,12.7,4.5,"54 km WNW of Kuqa, China"
2011-07-12 15:57:03.950000+00:00,41.928,82.26,10.0,4.5,"60 km WNW of Kuqa, China"
2011-07-19 09:22:06.940000+00:00,38.683,69.754,38.4,4.5,"5 km SE of Obigarm, Tajikistan"
2011-07-19 19:35:43.480000+00:00,40.081,71.41,20.0,6.1,"16 km NNE of Aydarken, Kyrgyzstan"
2011-07-29 21:08:22.040000+00:00,39.703,73.869,54.2,4.3,"123 km ESE of Nookat, Kyrgyzstan"
2011-08-11 10:06:29.350000+00:00,39.955,77.028,10.0,5.6,"104 km ENE of Kashgar, China"
2011-08-14 10:42:17+00:00,38.27,75.604,123.2,4.1,"137 km SSW of Kashgar, China"
2011-08-17 00:35:41.920000+00:00,38.6,70.096,53.0,4.5,"28 km SE of Roghun, Tajikistan"
2011-08-20 05:31:23.370000+00:00,42.34,71.319,30.5,5.0,"62 km S of Taraz, Kazakhstan"
2011-08-22 16:25:20.820000+00:00,38.516,69.598,21.3,4.8,"24 km SSW of Obigarm, Tajikistan"
2011-08-26 08:55:31.080000+00:00,38.616,78.997,10.0,4.8,"149 km N of Zangguy, China"
2011-09-08 00:15:55.610000+00:00,39.762,75.561,46.7,4.4,"48 km NW of Kashgar, China"
2011-09-08 19:46:49.720000+00:00,38.98,70.696,30.0,4.9,"28 km E of Rasht, Tajikistan"
2011-09-15 01:50:34.590000+00:00,44.399,79.867,42.0,4.4,"28 km NNW of Zharkent, Kazakhstan"
2011-09-25 19:18:23.450000+00:00,41.161,71.919,35.6,4.4,"8 km N of Uychi, Uzbekistan"
2011-09-27 19:01:35.350000+00:00,38.544,71.951,48.4,4.8,"85 km SSE of Karakenja, Tajikistan"
2011-09-29 01:11:40.780000+00:00,38.522,69.626,43.7,4.5,"22 km SSW of Obigarm, Tajikistan"
2011-10-04 10:26:27.510000+00:00,38.708,70.416,24.4,4.7,"35 km S of Rasht, Tajikistan"
2011-10-06 16:47:20.430000+00:00,39.426,72.882,41.5,4.6,"54 km ESE of Kyzyl-Eshme, Kyrgyzstan"
2011-10-11 01:17:21.750000+00:00,38.899,70.661,51.8,4.5,"29 km ESE of Rasht, Tajikistan"
2011-10-13 10:16:10.400000+00:00,41.065,71.071,15.2,4.4,"15 km WNW of Chust, Uzbekistan"
2011-10-16 13:44:48.950000+00:00,44.25,82.69,36.5,4.8,"northern Xinjiang, China"
2011-10-17 00:03:54.540000+00:00,38.46,69.718,39.0,4.3,"28 km S of Obigarm, Tajikistan"
2011-10-20 07:59:37.950000+00:00,40.992,72.503,35.0,4.7,"5 km SSE of Kochkor-Ata, Kyrgyzstan"
2011-10-20 08:04:54.180000+00:00,41.154,72.388,35.0,4.6,"15 km NNW of Kochkor-Ata, Kyrgyzstan"
2011-10-23 09:19:48.310000+00:00,39.359,71.746,49.3,4.5,"23 km NE of Karakenja, Tajikistan"
2011-10-24 14:35:14.760000+00:00,41.129,79.551,44.2,4.1,"52 km WNW of Aykol, China"
2011-10-27 04:42:21.070000+00:00,38.303,74.011,127.6,4.5,"15 km NNE of Murghob, Tajikistan"
2011-10-28 13:37:28.830000+00:00,42.135,77.571,46.7,4.1,"32 km E of Kadzhi-Say, Kyrgyzstan"
2011-11-01 00:21:28.090000+00:00,43.648,82.437,28.0,5.6,"70 km WNW of Xinyuan, China"
2011-11-05 03:22:31.530000+00:00,39.393,71.781,27.2,4.7,"28 km NE of Karakenja, Tajikistan"
2011-11-13 17:19:30.050000+00:00,39.418,72.575,35.0,4.5,"30 km ESE of Kyzyl-Eshme, Kyrgyzstan"
2011-11-29 03:04:54.540000+00:00,38.598,71.847,64.3,4.5,"76 km SSE of Karakenja, Tajikistan"
2011-12-01 12:48:17.710000+00:00,38.31,76.888,31.5,4.9,"33 km WSW of Shache, China"
2011-12-15 11:44:42.570000+00:00,38.687,75.53,10.0,4.4,"95 km SSW of Kashgar, China"
2011-12-24 09:20:05.060000+00:00,41.42,73.167,10.0,4.4,"53 km SSE of Toktogul, Kyrgyzstan"
2011-12-29 15:27:23.060000+00:00,38.659,70.762,43.5,4.7,"53 km SE of Rasht, Tajikistan"
2012-01-01 14:21:58.990000+00:00,38.706,70.671,35.0,4.1,"44 km SE of Rasht, Tajikistan"
2012-01-03 07:40:01.640000+00:00,39.836,77.286,43.7,4.5,"118 km ENE of Kashgar, China"
2012-01-04 19:37:01.080000+00:00,41.329,83.868,8.8,4.4,"89 km ESE of Kuqa, China"
2012-01-06 18:58:08.570000+00:00,38.767,70.592,46.3,4.2,"34 km SSE of Rasht, Tajikistan"
2012-01-17 10:40:31.420000+00:00,39.7,73.792,61.0,4.2,"118 km ESE of Nookat, Kyrgyzstan"
2012-01-19 07:41:42.640000+00:00,39.421,71.767,44.7,4.1,"29 km NE of Karakenja, Tajikistan"
2012-01-29 01:25:16.850000+00:00,40.534,72.997,23.1,4.5,"16 km E of Osh, Kyrgyzstan"
2012-02-05 07:10:16.580000+00:00,41.437,74.784,10.0,5.2,"90 km WNW of At-Bashi, Kyrgyzstan"
2012-02-10 16:19:38.510000+00:00,44.271,83.773,41.3,4.7,"102 km NNE of Xinyuan, China"
2012-02-20 02:23:59.940000+00:00,41.474,73.027,36.9,4.9,"45 km S of Toktogul, Kyrgyzstan"
2012-02-20 03:13:08.160000+00:00,38.712,67.958,25.1,4.4,"32 km NW of Tursunzoda, Tajikistan"
2012-02-20 04:18:16.170000+00:00,41.475,73.052,46.6,4.4,"45 km SSE of Toktogul, Kyrgyzstan"
2012-03-01 16:05:36.200000+00:00,39.702,74.371,43.3,4.7,"141 km W of Kashgar, China"
2012-03-01 21:17:55.710000+00:00,39.086,71.677,10.0,4.0,"21 km SE of Karakenja, Tajikistan"
2012-03-02 13:40:12.360000+00:00,39.75,74.38,42.5,5.0,"141 km WNW of Kashgar, China"
2012-03-02 21:30:50.190000+00:00,40.477,77.213,54.7,4.5,"141 km ESE of At-Bashi, Kyrgyzstan"
2012-03-06 22:43:54.240000+00:00,38.076,72.823,145.3,4.0,"100 km W of Murghob, Tajikistan"
2012-03-07 03:03:04.970000+00:00,39.559,73.846,51.1,4.4,"131 km SE of Nookat, Kyrgyzstan"
2012-03-08 18:13:53.090000+00:00,39.861,70.941,10.0,4.0,"24 km SSE of Batken, Kyrgyzstan"
2012-03-08 22:50:08.410000+00:00,39.383,81.307,38.0,5.9,"128 km S of Aral, China"
2012-03-10 13:00:23.850000+00:00,40.531,77.216,60.4,4.3,"138 km ESE of At-Bashi, Kyrgyzstan"
2012-03-20 06:24:45.530000+00:00,39.699,75.807,10.0,4.0,"29 km NNW of Kashgar, China"
2012-03-22 04:10:18.420000+00:00,38.904,69.642,15.3,4.7,"21 km NNW of Obigarm, Tajikistan"
2012-04-04 14:21:46.380000+00:00,41.851,79.421,52.6,4.3,"103 km NW of Aksu, China"
2012-04-13 06:48:04.240000+00:00,39.823,75.403,52.3,4.4,"63 km NW of Kashgar, China"
